L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
6,2820,Оз. Кёль-Кеджиге,\n,0,1,1,-10,0
13.6,3720,Пер. Шарт-Кеджиге,\n,0.5,0,0,25,0
21.3,4485,Г. Шарт,",",0.5,0,0,30,0
37.3,3980,Пер.\nДжолбизды,\n,1,0.5,-1,-10,0
40.4,4105,Пер. Тепла,\n,1,0.5,-1,10,0
42.7,4115,Пер. Ташуй,\n,0.5,0,0,25,0
51.4,4395,Пер. Москва,",",1,0,0,25,0
53.85,4300,Пер.\nФедорова,\n,0,0,0,25,0
66.2,2595,"Р. Терексу, устье р. Кош-Арча",\n,0.5,1,0,-25,0
74,4265,Пер.\nМишкевича,\n,0.5,0,0,25,0
77,4130,Пер. Правильный,\n,1,0.5,-1,0,0
84,4050,Пер.\nЧеп,\n,0.5,0,0,25,0
88.1,4240,Пер.\nПроходной,\n,0.5,0,0,25,0
94.7,4120,Пер.\nТула,\n,0.5,0,0,25,0
96.6,4080,Пер.\nДружина,\n,0,0.5,1,0,0
107.45,4530,Хр. Ойбала,",",0.5,0,0,30,0
124.6,4060,Пер. Карабель,\n,0.5,0,0,25,0
135.1,4350,П. Александры,\n,0.5,0,-1,30,0
149.1,4345,Пер. Теке,\n,0.5,0,1,20,0
170.8,3710,Пер. Тепчи,\n,1,0.5,-1,0,0
176.8,3510,Пер. Каркаракуль,\n,0,0.5,1,0,0
191.8,2290,Р. Чонг-Казык,\n,0.5,1,0,-15,0
194.9,3190,Пер. Отузойчурма,\n,0.5,0,0,25,0
198.7,3605,Пер. Каратумабель,\n,1,0,1,25,0
202.55,4430,Г. Каратума,\n,0.5,0,0,25,0
216.4,2160,Р. Ак-Богуз,\n,0.5,1,1,-15,0
227.15,3905,Г., ,1,0.5,-1,0,0
228.45,3995,Г., ,0.5,0,-1,25,0
233.2,4160,Г., ,0.5,0,0,25,0
