L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
10.161734372441,2605,Пер. Лучобский,\n,0.5,0,-1,,
20.7694533184273,3577,Пер. Чордыр,\n,0.5,0,,,
27.1249404528031,2653,Р.  Сиама,\n,0.5,1,-0.135,,
39.1347226664265,4073,Пер. Трёх,,1,0,,,
42.2,4490,Пер. Стажерский,,1,0,,,
43.1916824439768,4818,Г. Белая Пирамида,\n,0.5,0,,,
44.1,4490,,,0,1,,,-28
55.8436340267851,2987,Р. Обисафед,\n,1,0.5,-1.3,,
58.3140216224445,3194,Пер.\nБузговат\nВост.,\n,0.5,0,,,
62.3937034276696,2960,Р. Серидевол,\n,0.5,1,-0.5,,
64.5,3200,,,0,1,,,12
66.222696973993,3493,Г. Истерек,\n,0.5,0,,,
68,3200,Пер.\nСоминг\nСев,\n,0,0.5,,,
74.5502137336039,2479,Р. Паришон,\n,1,1,,,
78.0003366243279,3216,Пер. Симоб,\n,0,0.5,1,,
83.0928992400116,2450,Р. Каракуль,\n,0,1,-0.6,,
94.45,3812,Пер. Дукдон,\n,0.5,0,,,
119.132812554107,1824,Р. Арчамайдон,\n,0.5,1,,,
129.299396471497,3401,Пер. Зау,\n,0.5,0,,,
141.118302484417,3322,Г. Чукурак,\n,0.5,0,,,
142,3240,Пер. Зурмеч,\n,1,0.5,-0.2,-60,
145.852776305219,2803,Оз. Зиерат,\n,1,1,0.5,,
147.9,3390,Пер. Зиерат,\n,0,0.5,1,,
148.416621721268,3571,Г. Гоухона,\n,0.5,0,,,
150,3194,Пер. Чукурак,\n,0,0.5,,,
153.225386791536,2839,Куликалонские\nозёра,\n,0.5,1,1.4,,
159.5,3785,Пер. Алаудинский,,1,0,,,
160.281740412241,4020,Пик Северный,\n,0.5,0,,,
161.5,3785,,\n,0,0.5,,,-30
164.80150698565,2781,Оз. Алаудин,\n,0,0.5,,,
176.253337897095,4756,Пер. Чимтарга,\n,0.5,0,,,
184.634981337358,3163,Оз. Большое Алло,\n,0.5,1,,,
193.189469165135,4321,Пер. Двойной Сев.,\n,0.5,0,,,
