L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
22.26027,1480,пер. Чак-чак,\n,1,0.5,-1.5,,
22.75411,1538,в.," ",0.5,0,,,
28.43881,1256,пер.\nЗапасной,\n,0.5,0,1,,
31.66011,979,озеро\nДальнее,\n,0.5,0.9,3,,
40.20016,1500,пер. Рыжий,\n,0.5,0,,,
42.30987,1051,оз. Высокое,,0,0.8,7,,29
44.44309,1067,оз. Малое 1,,0,0.2,3,,25
45.69402,1107,оз. Малое 2,,0,0.2,4,,26
68.38519,713,Тимоновские\nисточники,\n,0.5,0.3,-6,,
75.57805,1755,в.," ",0.5,0,,,
79.28242,1495,пер. 4WD,,0,0.2,11,,30
87.11222,1725,пер. Пупырь сыпучий,,0,0.2,3,,35
87.80018,1885.5,"в."," ",0.5,0,,,
88.49166,1725,,,,,,,
109.0981,440,р. Лев. Авача,,0.5,1,0.5,,
115.1306,727,Водораздел рек\nГаванка и Дзензур,,0.5,0,,,
150.8291,736,Водораздел рек\nЧаявая и Таловая,\n,0.5,0,,,
154.0107,447,,,,,,,
165.7512,1355,Фумарола влк. Дзензур,\n,0.5,0,,,
177.3671,447,Кордон Таловский,,1,1,-2,,29
184.2939,491,пер. Малыш,\n,0.5,0,,,
188.3194,390,Кордон Центральный,,0.5,1,,,
204.6927,564,р. Шумная,,0,0.4,,,
226.181,1214,пер. Авачинский,,1,0,4,,
229.4012,890,,,,,,,
238.201,2741,влк. Авачинская сопка,\n,1,0.5,-3,,
246.5371,890,Кордон Авачинский,,1,0.8,,,29
