L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
14,1150,Ачисайское плато,\n,0.5,0,,,
30.4,1325,Пер. Талдыбулак В.,\n,0.5,0,-2.5,,
32.8,1240,Пер. Талдыбулак С.,\n,0.5,0,-8.8,-8,
37.5,1460,Плато ," ",0.5,0,,,
44.6,1273,Пер. Каньонный,\n,0.5,0.5,3.3,15,
51.75,812,Р. Кошкарата,\n,0.5,1,,,
59.2,1382,Г. Караадыр,\n,1,0,0.5,,
62.2,1375,Г. Босага,\n,0,0,-0.5,,
64.3,1312,Пер. Перемычка,"",0,0.5,0.5,,
66.1,930,Р. Барсылдак,\n,0.5,1,,,
69.5,1630,Пер. Дамира Абдрахманова,\n,0.5,0,,,
107.8,775,Р. Б. Каракуз,"",0,0.5,,,
113.8,1660,Плато ," ",0.5,0,,,
121.5,1346,Ист. р. Акуйик,\n,0.5,1,,,
140.5,1003,Р. Тегистык,\n,0.5,1,,,
144.3,1323, Г. ," ",0.5,0,,,
150,653,Р. Суиндык,\n,0.5,1,,,
