L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
12.3,980,Водораздел рек\nСюльбан и Куда-Малая,\n,0.4,0,,,
41.5,850,Устье руч. Угловой Водопад,\n,0,0.9,,,
61.3,2020,Пер. Угловой Водопад,,1,0.2,,,
67.3,1690,Пер. Крест,,1,0,-10,,33
71.5,1800,Пер. Восточный Крест,,1,0.1,-14,,50
74.5,2015,Пер. Основной,\n,0.5,0,,,
79.5,1380,Р. Южная Култушная,\n,0.5,1,-13.2,-10,
84.4,1920,,\n,0.5,0.5,,,
85.1,2145,Вер. Култушная Главная,,1,0.2,-1,,
85.8,1920,Пер. Култушный,,1,0.1,-30,,60
90.5,1395,Р. Левая Култушная,\n,0.5,1,4.9,,
98.4,2213,Вер.," ",0.5,0,,,
100.9,1835,Пер. Незаметный,\n,0.5,0,-2.5,,
111.1,2310,Пер. Сложный Вопрос,,1,0.2,,,
116.8,2340,Пер. Сюльбан Южный,\n,0.5,0,,,
127.2,1400,Устье р. Правый Сюльбан,\n,0.5,1,0.3,,
136.3,2440,Пер. Татьяна,\n,0.5,0,,,
143.7,2200,Пер. Верхнесакуканский,\n,0.5,0,,,
150.3,2725,Пер. Советских Географов,,1,0.2,,,
154.25,2475,Пер. Ленинградец,\n,0.5,0,1.1,,
161.95,3072,Вер. БАМ,,0.5,0,,,
171.8,2610,Пер. Моника-1,,0,0.5,,,
182.9,1365,"Р. Средний Сакукан,\nустье руч. Метельный",\n,0.5,1,-0.2,,
196,2245,Пер. Мурзилка,\n,0.5,0,,,
215.6,1020,"Р. Апсат,\nустье руч. Ягельный",,1,1,,,
