n,date,time,desc
1,19.08.2023,15:10:54,Пос. Уч-Тебе - оз. Кель-Кеджиге
1,19.08.2023,16:12:15,Разведка и переправа через оз. Кель-Кеджиге
2,20.08.2023,05:49:52,Оз. Кель-Кеджиге - водопад в каньоне р. Кель-Кеджиге
2,20.08.2023,09:12:23,Прохождение водопада а в каньоне р. Кель-Кеджиге
2,20.08.2023,14:48:01,Каньон р. Кель-Кеджиге - пер. Кеджиге-Шарт
2,20.08.2023,16:21:05,Пер. Кеджиге-Шарт - слияние истоков р. Шарт
3,21.08.2023,08:03:32,Слияние истоков р. Шарт - под взлет пер. Хорошарт
3,21.08.2023,10:47:47,Подъем на пер. Хорошарт
3,21.08.2023,15:46:17,Траверс пер. Хорошарт - г. Шарт - г. 4317 м.
3,21.08.2023,18:15:36,Спуск с г. 4317 м. до р. Чиркийле
4,22.08.2023,10:38:48,Вниз по р. Чиркийле до слияния с р. Джолбизды
4,22.08.2023,13:53:18,Вверх по р. Джолбизды и притоку до пер. Джолбизды
4,22.08.2023,14:47:03,Пер. Джолбизды - р. Сугут (слияние истоков)
5,23.08.2023,05:32:23,Р. Сугут - пер. Тепла Правый
5,23.08.2023,06:23:38,Пер. Тепла Правый - р. Тепла
5,23.08.2023,06:58:53,Р. Тепла - пер. Ташуй Правый
5,23.08.2023,08:35:53,Пер. Ташуй Правый - р. Ташуй
5,23.08.2023,15:31:08,Р. Ташуй - цирк перевалов Россия и Москва
6,24.08.2023,06:32:41,Подъем на пер. Москва
6,24.08.2023,08:25:26,Спуск с пер. Москва до выполаживания
6,24.08.2023,10:44:11,Переход к пер. Ю. Федорова
6,24.08.2023,13:54:41,Спуск с пер. Ю. Федорова до выполаживания
6,24.08.2023,15:59:11,Спуск до р. Терексу
7,25.08.2023,09:22:17,Вниз по р. Терексу до устья р. Кош-Арча
7,25.08.2023,13:54:04,Вверх по рр. Кош-Арча и Турумтай-Уясы до притока с пер. Мишкевича
7,25.08.2023,16:51:57,Подход под пер. Мишкевича до выс. 3470 м.
8,26.08.2023,07:50:36,Подход под взлет пер. Мишкевича
8,26.08.2023,12:47:21,Подъем на пер. Мишкевича
8,26.08.2023,15:30:06,Пер. Мишкевича - исток р. Кашка-Суу
9,27.08.2023,06:12:44,Подъем на пер. Правильный
9,27.08.2023,10:48:59,Спуск с пер. Правильный до выполаживания
9,27.08.2023,13:50:29,Спуск до р. Чеп
9,27.08.2023,16:34:29,Вверх по р. Чеп под пер. Чеп
10,28.08.2023,09:42:25,Подъем на пер. Чеп
