L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
28.89847,2218,"пер. Тернопольских туристов","\n",0.5,0,,,
57.57266,2297,"пер. Миллера","\n",0.5,0,,,
65.0864,2083,"пер. Башкирия","\n",0.5,0,2,40,
68.86243,1960,"пер. Мамский","\n",0.5,0,5,-10,
76.18238,1338,"оз. Мама","\n",0.5,1,-1,,
82.00835,2070,"пер. Недоросль","\n",0.5,0,,,
83.61379,2025,"пер. Всемир",,0,0.2,,,
88.16769,1656,"пер. Зенит",,0,0.2,,,
129.3322,1602,"оз. под г. Иняптук",,0,0.2,12,,40
132.8202,2514,"г. Иняптук",,0,0.2,,,
136.1599,1602,,,,,,,
183.0961,1105,"Водораздел рек\nТыя и Холодная",,0.5,0,,,
