L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
57.75,370,р. Лунвож-Сыня,\n,1,0.5,-3.5,1,23.5
63.9,1185,,,,,,,
64.65,1495,вер. Сабля,\n,0.5,0,,,
65.4,1185,пер. Гофмана,\n,1,0.5,-3,1,20
72.55,344,р. Седъю,\n     ,0,1,-0,-5,
76.3,1000,вер. б/н,\n,0.5,0,,,
80.5,560,исток\nр. Войвож-Сыня,\n,0.5,1,0.2,-10,
87.2,1215,пер. Щель,\n,0.5,0,-4.5,-12,
89.1,722,исток\nр. Озерной,\n,0,1,-0.5,-5,
91.8,1340,пер. Бермелеева,\n        ,0,0.5,3.5,1,25
92.4,1440,вер. Озерная Северная,\n,0.5,0,,,
93.35,1425,вер. Именинник,\n,0.5,1,10.5,15,
93.7,1340,,,,,,,
102.3,308,р. Вангыр,\n,0.5,1,0.75,-10,
111.1,1060,пер. Медвежий,\n,0.5,0.5,-5.5,12,
114.4,632,р. Харота,\n    ,0,0.5,1.5,,
117.5,1085,пер. Авангард,\n,1,0,1.5,,
121.45,1635,вер. Колокольня Южная,\n,0.5,0,,12,
134.5,388,р. Косью,\n,1,1,,-5,
140.8,1265,пер. Манараги Северный,\n               ,0,0.5,3.5,1,34
142.05,1675,вер. Манарага Главная,\n              ,0,0.5,0,12,
143.1,1265,,,,,,,
148.3,598,р. Капкан-Вож,\n,0.5,1,-1.3,-10,
152.15,1010,пер. Ступенька,\n,0,0,-6,8,
153.75,1020,пер. Тобик,\n    ,0,0.5,1.5,-28,
171.0,495,р. Нидысей,\n,0.5,1,,-10,
177.75,830,пер. Долгий,\n,0.5,0,,,
221.35,186,р. Пальник-Шор,\n         ,0,0.5,7,1,27
230.1,92,р. Сывъю,\n,1,1,,-5,
