L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
28.4,1010,Пер. Настойчивых,\n,1,0,0,10,0
51.9,170,"Р. Нижний Хикикаль, устье",\n,0.5,1,0.3,-10,0
58.4,730,Пер. Альтернативный,\n,0,1,3,0,0
70.1,970,Пер. Моя-Ачин,\n,0.5,0,-2,10,0
82.4,1045,Пер. Жанна,\n,0.5,0,-4,10,0
88.9,1170,Пер. Александр,\n,0.5,0,-0.3,10,0
100.1,1306,В. ," ",0.5,0,0,10,0
111.5,120,Р. Кутарамакан,\n,0.5,1,0,-10,0
123.6,1335,В.," ",0.5,0,0,10,0
163,205,Большой Иркиндинский водопад,\n,0.5,1,0,-10,0
179,1190,Пер. Дапту Верхний,\n,0.5,0,0,10,0
183.7,613,Р. Дапту\nпр. исток,,0,1,0,-10,0
229.5,1353,В. ," ",0.5,0,2,10,0
232.5,1353,, ,1,1,0,10,3.5
269,112,"Р. Курейка,\nустье р. Скалистой",,1,1,-0.5,0,0
