L,Ele,Name,sep,hjust,vjust,xnudge,ynudge,length
27.3,460,Пер. Настойчивых \n начало подъема, ,0.5,1,0.3,-10,0
28.4,1010,"Пер. Настойчивых, тур",\n,1,0,0,10,0
39.5,930,Р. Хикикаль\nводопад,,0,0,0.3,5,0
41.7,715,"Р. Хикикаль, конец\nверхнего каньона",,1,0.5,-1,0,0
47.8,290,"Р. Хикикаль, начало\nнижнего каньона",,1,0.5,-1,0,0
49.3,240,"Р. Хикикаль, конец\nнижнего каньона",,1,1,-1,0,0
51.9,170,"Р. Нижний Хикикаль, устье",\n,0.5,1,0.3,-10,0
57.5,420,Пер. Альтернативный\nначало подъема,,0,0.5,1,0,0
57.8,620,Пер. Альтернативный\nконец подъема,,0,0.5,0.7,0,0
58.4,730,Пер. Альтернативный\nтур,,0,1,3,0,0
63.2,805,Р. Нижний Хикикаль\nначало верхнего каньона,,0,0.5,1,0,0
65.5,895,Р. Нижний Хикикаль\nконец верхнего каньона,,0,1,1,0,0
70.1,970,Пер. Моя-Ачин,\n,0.5,0,-2,10,0
82.4,1045,Пер. Жанна,\n,0.5,0,-4,10,0
88.9,1170,Пер. Александр,\n,0.5,0,-0.3,10,0
100.1,1306,В. ," ",0.5,0,0,10,0
105.8,795,"Руч. Солнечный,\nначало каньона",,0,0.5,1,0,0
108.6,315,"Руч. Солнечный,\nконец каньона",,1,0.5,-1,0,0
111.5,120,Р. Кутарамакан,\n,0.5,1,0,-10,0
123.6,1335,В.," ",0.5,0,0,10,0
137,895,Р. Озерная\nначало каньона,,0,0.5,1,0,0
138.3,480,Р. Озерная\nконец каньона,,0,0.5,1,0,0
163,205,Большой Иркиндинский водопад,\n,0.5,1,0,-10,0
179,1190,Пер. Дапту Верхний,\n,0.5,0,0,10,0
183.7,613,Р. Дапту\nпр. исток,,0,1,0,-10,0
229.5,1353,В. ," ",0.5,0,2,10,0
232.5,1353,, ,1,1,0,10,3.5
268,184,Р. Скалистая\nконец каньона,,1,0.5,-1,0,0
269,112,"Р. Курейка,\nустье р. Скалистой",,1,1,-0.5,0,0
